    N   =   10000
      x:            y:             z:          PE:            KE:
      15.544000      12.233000    -0.15594000
      15.517016      12.264808    -0.15547195
      15.489962      12.296562    -0.15500320
      15.462838      12.328260    -0.15453375
      15.435645      12.359902    -0.15406360
      15.408382      12.391489    -0.15359276
      15.381050      12.423019    -0.15312122
      15.353648      12.454494    -0.15264900
      15.326177      12.485913    -0.15217609
      15.298636      12.517275    -0.15170248
      15.271027      12.548581    -0.15122820
      15.243349      12.579830    -0.15075323
      15.215602      12.611022    -0.15027758
      15.187786      12.642158    -0.14980125
      15.159901      12.673236    -0.14932425
      15.131949      12.704258    -0.14884657
      15.103927      12.735221    -0.14836822
      15.075838      12.766128    -0.14788919
      15.047680      12.796976    -0.14740950
      15.019454      12.827767    -0.14692914
      14.991161      12.858500    -0.14644812
      14.962799      12.889174    -0.14596643
      14.934370      12.919790    -0.14548409
      14.905873      12.950348    -0.14500108
      14.877309      12.980847    -0.14451742
      14.848677      13.011288    -0.14403310
      14.819978      13.041669    -0.14354813
      14.791212      13.071992    -0.14306251
      14.762379      13.102255    -0.14257624
      14.733479      13.132459    -0.14208933
      14.704512      13.162603    -0.14160177
      14.675478      13.192688    -0.14111357
      14.646378      13.222713    -0.14062473
      14.617212      13.252678    -0.14013525
      14.587979      13.282582    -0.13964513
      14.558680      13.312427    -0.13915438
      14.529314      13.342211    -0.13866300
      14.499883      13.371935    -0.13817099
      14.470386      13.401597    -0.13767835
      14.440823      13.431199    -0.13718508
      14.411195      13.460740    -0.13669119
      14.381501      13.490220    -0.13619668
      14.351742      13.519638    -0.13570155
      14.321917      13.548995    -0.13520581
      14.292028      13.578291    -0.13470944
      14.262073      13.607524    -0.13421247
      14.232053      13.636696    -0.13371488
      14.201969      13.665805    -0.13321669
      14.171820      13.694853    -0.13271789
      14.141606      13.723838    -0.13221848
      14.111328      13.752761    -0.13171847
      14.080986      13.781620    -0.13121786
      14.050579      13.810418    -0.13071666
      14.020109      13.839152    -0.13021485
      13.989574      13.867823    -0.12971246
      13.958976      13.896431    -0.12920947
      13.928314      13.924975    -0.12870589
      13.897589      13.953456    -0.12820173
      13.866800      13.981874    -0.12769698
      13.835948      14.010227    -0.12719164
      13.805032      14.038517    -0.12668573
      13.774054      14.066742    -0.12617924
      13.743013      14.094904    -0.12567217
      13.711909      14.123000    -0.12516452
      13.680742      14.151033    -0.12465631
      13.649513      14.179000    -0.12414752
      13.618221      14.206903    -0.12363817
      13.586867      14.234741    -0.12312825
      13.555451      14.262514    -0.12261777
      13.523973      14.290221    -0.12210672
      13.492433      14.317863    -0.12159512
      13.460831      14.345440    -0.12108296
      13.429167      14.372951    -0.12057025
      13.397442      14.400396    -0.12005698
      13.365656      14.427775    -0.11954317
      13.333808      14.455088    -0.11902881
      13.301900      14.482335    -0.11851390
      13.269930      14.509515    -0.11799844
      13.237899      14.536629    -0.11748245
      13.205808      14.563676    -0.11696592
      13.173656      14.590657    -0.11644885
      13.141444      14.617570    -0.11593124
      13.109171      14.644416    -0.11541311
      13.076838      14.671195    -0.11489444
      13.044445      14.697907    -0.11437525
      13.011993      14.724551    -0.11385553
      12.979480      14.751128    -0.11333529
      12.946908      14.777637    -0.11281452
      12.914276      14.804078    -0.11229324
      12.881585      14.830451    -0.11177144
      12.848835      14.856755    -0.11124913
      12.816025      14.882992    -0.11072631
      12.783157      14.909159    -0.11020298
      12.750229      14.935259    -0.10967913
      12.717243      14.961289    -0.10915479
      12.684199      14.987251    -0.10862994
      12.651096      15.013143    -0.10810459
      12.617934      15.038967    -0.10757875
      12.584715      15.064721    -0.10705240
      12.551437      15.090406    -0.10652557
      12.518102      15.116021    -0.10599824
      12.484709      15.141566    -0.10547043
      12.451258      15.167042    -0.10494212
      12.417750      15.192447    -0.10441334
      12.384185      15.217783    -0.10388407
      12.350562      15.243048    -0.10335432
      12.316883      15.268243    -0.10282409
      12.283146      15.293368    -0.10229339
      12.249353      15.318421    -0.10176222
      12.215503      15.343404    -0.10123058
      12.181597      15.368317    -0.10069847
      12.147634      15.393158    -0.10016589
      12.113615      15.417928   -0.099632851
      12.079540      15.442626   -0.099099350
      12.045410      15.467254   -0.098565391
      12.011223      15.491809   -0.098030976
      11.976981      15.516293   -0.097496106
      11.942683      15.540705   -0.096960786
      11.908330      15.565046   -0.096425016
      11.873922      15.589314   -0.095888799
      11.839459      15.613510   -0.095352138
      11.804941      15.637633   -0.094815035
      11.770369      15.661684   -0.094277492
      11.735741      15.685663   -0.093739512
      11.701060      15.709569   -0.093201097
      11.666324      15.733402   -0.092662250
      11.631533      15.757161   -0.092122972
      11.596689      15.780848   -0.091583267
      11.561791      15.804462   -0.091043136
      11.526840      15.828002   -0.090502582
      11.491834      15.851469   -0.089961608
      11.456776      15.874862   -0.089420216
      11.421664      15.898181   -0.088878408
      11.386499      15.921427   -0.088336186
      11.351281      15.944599   -0.087793554
      11.316010      15.967696   -0.087250513
      11.280687      15.990719   -0.086707066
      11.245311      16.013668   -0.086163215
      11.209883      16.036542   -0.085618963
      11.174402      16.059342   -0.085074312
      11.138870      16.082067   -0.084529265
      11.103285      16.104717   -0.083983823
      11.067649      16.127292   -0.083437991
      11.031962      16.149792   -0.082891769
      10.996223      16.172217   -0.082345160
      10.960432      16.194566   -0.081798167
      10.924591      16.216840   -0.081250793
      10.888698      16.239038   -0.080703039
      10.852755      16.261161   -0.080154908
      10.816761      16.283208   -0.079606402
